,Time,x,z,pitch,WG1,WG2,WG3
14,0.15,-0.01282835,-0.01875378,-1.341124,0.0004233859999999,-0.000113098,5.6444001889565006e-05
15,0.16,-0.01282843,-0.01875078,-1.341139,0.0004822877999999,-0.000129305,5.4640982695546104e-05
16,0.17,-0.0128285,-0.01874766,-1.341158,0.0005411896,-0.000145512,5.28379635015272e-05
17,0.18,-0.01282854,-0.01874438,-1.341179,0.0006000913999999,-0.000161719,5.103494430750831e-05
18,0.19,-0.01282855,-0.01874096,-1.341199,0.0006589931999999,-0.000177926,4.9231925113489405e-05
19,0.2,-0.01282854,-0.01873742,-1.341222,0.000717895,-0.000194133,4.74289059194705e-05
20,0.21,-0.0128285,-0.01873369,-1.341245,0.0007871639999999,-0.0002105001999999,4.494072898447421e-05
21,0.22,-0.01282842,-0.01872973,-1.341267,0.000856433,-0.0002268674,4.245255204947792e-05
23,0.24,-0.01282816,-0.01872111,-1.341312,0.0009949709999999,-0.0002596018,3.747619817948534e-05
24,0.25,-0.01282802,-0.01871647,-1.341338,0.00106424,-0.000275969,3.498802124448905e-05
25,0.26,-0.01282788,-0.01871165,-1.341365,0.001127178,-0.0002839044,3.247144846362789e-05
26,0.27,-0.01282773,-0.01870672,-1.341394,0.001190116,-0.0002918397999999,2.9954875682766728e-05
27,0.28,-0.01282758,-0.01870171,-1.341424,0.001253054,-0.0002997752,2.743830290190557e-05
28,0.29,-0.01282743,-0.01869659,-1.341454,0.0013159919999999,-0.0003077106,2.4921730121044424e-05
29,0.3,-0.01282729,-0.01869137,-1.341484,0.0013789299999999,-0.000315646,2.2405157340183264e-05
31,0.32,-0.01282705,-0.01868061,-1.341545,0.001505682,-0.000312612,1.7014444454960788e-05
32,0.33,-0.01282696,-0.01867501,-1.341577,0.001569058,-0.000311095,1.4319088012349548e-05
33,0.34,-0.0128269,-0.01866927,-1.34161,0.001632434,-0.000309578,1.1623731569738308e-05
34,0.35,-0.01282687,-0.01866339,-1.341645,0.00169581,-0.000308061,8.928375127127085e-06
35,0.36,-0.01282686,-0.01865735,-1.34168,0.001760458,-0.0002992048,6.183127438445444e-06
36,0.37,-0.01282689,-0.01865115,-1.341716,0.001825106,-0.0002903486,3.437879749763804e-06
37,0.38,-0.01282696,-0.01864482,-1.341754,0.001889754,-0.0002814924,6.926320610821631e-07
38,0.39,-0.01282706,-0.0186384,-1.341791,0.001954402,-0.0002726362,-2.052615627599478e-06
40,0.41,-0.01282736,-0.01862534,-1.341868,0.00208523,-0.0002481068,-7.182701921181553e-06
41,0.42,-0.01282755,-0.01861873,-1.341908,0.00215141,-0.0002324336,-9.567540526082005e-06
42,0.43,-0.01282778,-0.01861207,-1.341947,0.0022175899999999,-0.0002167604,-1.1952379130982453e-05
43,0.44,-0.01282804,-0.01860535,-1.341987,0.00228377,-0.0002010872,-1.43372177358829e-05
44,0.45,-0.01282833,-0.01859853,-1.342028,0.00234995,-0.000185414,-1.672205634078335e-05
45,0.46,-0.01282865,-0.01859162,-1.342071,0.002423628,-0.00016242146,-1.8378532028221936e-05
46,0.47,-0.01282898,-0.01858464,-1.342114,0.0024973059999999,-0.00013942892,-2.0035007715660515e-05
48,0.49,-0.01282968,-0.0185704,-1.3422,0.002644662,-9.344384000000004e-05,-2.3347959090537687e-05
49,0.5,-0.01283005,-0.01856317,-1.342243,0.00271834,-7.045130000000003e-05,-2.5004434777976272e-05
50,0.51,-0.01283042,-0.0185559,-1.342286,0.002792564,-3.9278900000000035e-05,-2.5719431463766803e-05
51,0.52,-0.0128308,-0.01854857,-1.342329,0.002866788,-8.106500000000021e-06,-2.6434428149557323e-05
52,0.53,-0.01283118,-0.01854122,-1.342375,0.002941012,2.3065899999999972e-05,-2.714942483534785e-05
53,0.54,-0.01283156,-0.01853387,-1.342421,0.003015236,5.4238299999999985e-05,-2.7864421521138377e-05
54,0.55,-0.01283193,-0.01852652,-1.342468,0.00308946,8.541069999999998e-05,-2.8579418206928904e-05
55,0.56,-0.01283231,-0.01851917,-1.342513,0.003159692,0.00012430116,-2.8344480879962113e-05
57,0.58,-0.01283303,-0.01850441,-1.342604,0.003300156,0.0002020820799999,-2.7874606226028535e-05
58,0.59,-0.01283335,-0.01849698,-1.342649,0.003370388,0.0002409725399999,-2.7639668899061744e-05
59,0.6,-0.01283366,-0.0184895,-1.342696,0.00344062,0.000279863,-2.7404731572094953e-05
60,0.61,-0.01283397,-0.01848199,-1.342743,0.003503678,0.0003262588,-2.6473344869171342e-05
61,0.62,-0.01283428,-0.01847447,-1.342789,0.003566736,0.0003726546,-2.554195816624773e-05
62,0.63,-0.01283458,-0.01846695,-1.342834,0.003629794,0.0004190503999999,-2.461057146332412e-05
63,0.64,-0.01283486,-0.01845944,-1.342881,0.003692852,0.0004654462,-2.3679184760400503e-05
65,0.66,-0.01283535,-0.01844453,-1.342978,0.003808904,0.000565412,-2.151629797259328e-05
66,0.67,-0.01283559,-0.01843714,-1.343025,0.003861898,0.000618982,-2.0284797887709663e-05
67,0.68,-0.01283584,-0.01842977,-1.343071,0.003914892,0.000672552,-1.9053297802826048e-05
68,0.69,-0.01283609,-0.01842242,-1.343115,0.003967886,0.0007261219999999,-1.7821797717942447e-05
69,0.7,-0.01283634,-0.0184151,-1.343159,0.00402088,0.000779692,-1.6590297633058833e-05
70,0.71,-0.01283656,-0.01840781,-1.343206,0.00406218,0.0008398976,-1.557000254008283e-05
71,0.72,-0.01283677,-0.01840053,-1.343255,0.00410348,0.0009001032,-1.4549707447106827e-05
72,0.73,-0.01283697,-0.01839331,-1.343303,0.00414478,0.0009603088,-1.3529412354130829e-05
74,0.75,-0.01283744,-0.018379,-1.343391,0.00422738,0.00108072,-1.1488822168178825e-05
