,Time,x,z,pitch,WG1,WG2,WG3
14,0.15,-0.01282836,-0.0187538,-1.341124,-0.001699,-0.0002432739999999,5.642328836670465e-05
15,0.16,-0.01282843,-0.01875081,-1.341139,-0.0018695819999999,-0.0003067186,5.461396703544175e-05
16,0.17,-0.0128285,-0.01874769,-1.341159,-0.002040164,-0.0003701632,5.280464570417885e-05
17,0.18,-0.01282855,-0.01874442,-1.341179,-0.002210746,-0.0004336077999999,5.099532437291595e-05
18,0.19,-0.01282856,-0.01874101,-1.3412,-0.002381328,-0.0004970523999999,4.918600304165305e-05
20,0.21,-0.01282851,-0.01873376,-1.341246,-0.002692376,-0.0006537055999999,4.487721902213327e-05
21,0.22,-0.01282843,-0.0187298,-1.341268,-0.002832842,-0.0007469142,4.237775633387639e-05
22,0.23,-0.01282831,-0.01872561,-1.341289,-0.002973308,-0.0008401228,3.987829364561951e-05
23,0.24,-0.01282818,-0.0187212,-1.341313,-0.003113774,-0.0009333313999999,3.737883095736263e-05
24,0.25,-0.01282804,-0.01871658,-1.341339,-0.00325424,-0.00102654,3.487936826910575e-05
26,0.27,-0.01282775,-0.01870686,-1.341396,-0.003359112,-0.001183252,2.980819321592246e-05
27,0.28,-0.0128276,-0.01870187,-1.341426,-0.003411548,-0.001261608,2.7272605689330816e-05
28,0.29,-0.01282746,-0.01869677,-1.341456,-0.003463984,-0.001339964,2.4737018162739183e-05
29,0.3,-0.01282732,-0.01869157,-1.341486,-0.00351642,-0.00141832,2.220143063614754e-05
31,0.32,-0.01282709,-0.01868086,-1.341548,-0.0034760159999999,-0.001503836,1.6750691178578788e-05
32,0.33,-0.012827,-0.0186753,-1.341581,-0.0034558139999999,-0.001546594,1.4025321449794414e-05
33,0.34,-0.01282695,-0.01866959,-1.341614,-0.0034356119999999,-0.001589352,1.1299951721010036e-05
34,0.35,-0.01282692,-0.01866374,-1.341649,-0.0034154099999999,-0.00163211,8.574581992225676e-06
35,0.36,-0.01282692,-0.01865774,-1.341685,-0.0033202399999999,-0.001643402,5.783951065208284e-06
37,0.38,-0.01282703,-0.0186453,-1.341759,-0.0031298999999999,-0.001665986,2.0268921117350215e-07
38,0.39,-0.01282714,-0.01863893,-1.341798,-0.00303473,-0.001677278,-2.5879417158438892e-06
39,0.4,-0.01282728,-0.01863248,-1.341836,-0.00293956,-0.00168857,-5.37857264286128e-06
40,0.41,-0.01282745,-0.01862598,-1.341876,-0.00276471,-0.001668934,-7.82996739579313e-06
41,0.42,-0.01282766,-0.01861944,-1.341916,-0.00258986,-0.001649298,-1.0281362148724997e-05
43,0.44,-0.01282817,-0.01860619,-1.341997,-0.00224016,-0.0016100259999999,-1.518415165458872e-05
44,0.45,-0.01282847,-0.01859945,-1.342039,-0.00206531,-0.00159039,-1.7635546407520585e-05
45,0.46,-0.01282881,-0.01859262,-1.342083,-0.0017994279999999,-0.001542414,-1.9387274876503973e-05
46,0.47,-0.01282915,-0.01858572,-1.342127,-0.001533546,-0.001494438,-2.113900334548735e-05
48,0.49,-0.01282989,-0.01857168,-1.342216,-0.001001782,-0.001398486,-2.4642460283454128e-05
49,0.5,-0.01283027,-0.01856456,-1.34226,-0.0007359,-0.00135051,-2.6394188752437517e-05
50,0.51,-0.01283067,-0.0185574,-1.342304,-0.00032081,-0.0013032,-2.721710063610109e-05
51,0.52,-0.01283107,-0.0185502,-1.342349,9.427999999999996e-05,-0.00125589,-2.8040012519764657e-05
52,0.53,-0.01283147,-0.01854297,-1.342396,0.0005093699999999,-0.00120858,-2.8862924403428227e-05
