,Time,x,z,pitch,WG1,WG2,WG3
11,0.12,-0.012828,-0.0187619,-1.34108,0.0009775037999999,-0.000172401,5.162406905278021e-05
12,0.13,-0.01282814,-0.01875937,-1.341095,0.0010882092,-0.00020319,5.322564413616839e-05
14,0.15,-0.01282835,-0.0187538,-1.341124,0.0013096199999999,-0.000264768,5.642879430294473e-05
15,0.16,-0.01282843,-0.0187508,-1.341139,0.0013967419999999,-0.0003077046,5.4621312876970864e-05
17,0.18,-0.01282855,-0.01874441,-1.341179,0.001570986,-0.0003935777999999,5.1006350025023146e-05
18,0.19,-0.01282856,-0.018741,-1.3412,0.0016581079999999,-0.0004365144,4.919886859904928e-05
20,0.21,-0.01282851,-0.01873374,-1.341246,0.0017957759999999,-0.000527389,4.489476121248292e-05
21,0.22,-0.01282842,-0.01872978,-1.341268,0.001846322,-0.000575327,4.2398135251890406e-05
23,0.24,-0.01282817,-0.01872118,-1.341313,0.001947414,-0.000671203,3.74048833307054e-05
24,0.25,-0.01282804,-0.01871655,-1.341339,0.00199796,-0.000719141,3.4908257370112884e-05
26,0.27,-0.01282774,-0.01870683,-1.341395,0.002000504,-0.0007758386,2.9845479412507627e-05
27,0.28,-0.0128276,-0.01870183,-1.341425,0.002001776,-0.0008041874,2.7314090433705e-05
29,0.3,-0.01282731,-0.01869152,-1.341486,0.00200432,-0.000860885,2.2251312476099755e-05
31,0.32,-0.01282708,-0.0186808,-1.341548,0.0019333319999999,-0.0008683538,1.6812886311845884e-05
32,0.33,-0.01282699,-0.01867523,-1.34158,0.001897838,-0.0008720882,1.4093673229718948e-05
34,0.35,-0.01282691,-0.01866366,-1.341648,0.00182685,-0.000879557,8.655247065465091e-06
35,0.36,-0.01282691,-0.01865765,-1.341684,0.001757222,-0.0008638464,5.874295487275598e-06
37,0.38,-0.01282701,-0.01864519,-1.341758,0.001617966,-0.0008324252,3.12392330896612e-07
38,0.39,-0.01282712,-0.01863881,-1.341797,0.0015483379999999,-0.0008167146,-2.468559247292882e-06
40,0.41,-0.01282743,-0.01862584,-1.341874,0.0013760786,-0.0007671654,-7.685387076522344e-06
41,0.42,-0.01282764,-0.01861928,-1.341914,0.0012734472,-0.0007333268,-1.0121263327562328e-05
43,0.44,-0.01282814,-0.018606,-1.341995,0.0010681844,-0.0006656496,-1.4993015829642297e-05
