Time,x,y,z,roll,pitch,yaw,t_fore,t_port,t_stb,WG1,WG2,WG3
0.01,-0.01282788,4.698457e-11,-0.01878783,3.061696e-08,-1.341296,3.960199e-09,9.02105586445947,6.539895290444262,6.5399129657846675,NaN,NaN,NaN
0.02,-0.01283152,-2.43007e-11,-0.01880083,1.010803e-07,-1.34164,-5.819426e-09,5.301024817096419,6.736781145129287,6.736769274699455,NaN,NaN,NaN
0.03,-0.01283273,-2.122551e-10,-0.01880413,2.039258e-07,-1.342257,-2.711499e-08,0.18606334523644558,5.227883840551428,5.22788249391283,NaN,NaN,NaN
0.04,-0.01283087,-5.070824e-10,-0.018804,3.401416e-07,-1.342474,-7.560097e-08,3.2977829790321858,4.663750707203685,4.663594480286471,NaN,NaN,NaN
0.05,-0.01282705,-9.822829e-10,-0.01879546,5.74295e-07,-1.342544,-1.403704e-07,1.359676193609021,2.460546983738353,2.4599927009580633,1.03506e-60,5.015110000000003e-49,1.7878089592095055e-05
0.06,-0.01282294,-3.312233e-09,-0.0187768,1.127109e-06,-1.342453,-2.613808e-07,2.6944298973956204,3.711048331570648,3.7178509642573117,1.03506e-60,5.015110000000003e-49,2.411808686167893e-05
0.07,-0.01281733,-2.455389e-09,-0.01875191,1.260222e-06,-1.342239,-4.390019e-07,4.733718875510166,36.84474871145484,36.83619329535401,1.03506e-60,5.015110000000003e-49,3.0358084131262818e-05
0.08,-0.01280761,2.935704e-09,-0.01875798,7.650779e-07,-1.341198,-5.264572e-07,5.870229402846577,7.971412261158317,7.969392668096974,1.03506e-60,5.015110000000003e-49,3.659808140084669e-05
0.09,-0.01280885,2.102159e-08,-0.01876666,-1.2692e-06,-1.341888,-6.609077e-07,5.971041728220618,4.727375374057528,4.507813098715008,1.03506e-60,5.015110000000003e-49,4.283807867043057e-05
0.1,-0.01281173,1.046406e-08,-0.01876642,-7.572736e-07,-1.342758,-5.523491e-07,5.030745451211017,0.37922028525593665,0.5369394709980821,1.03506e-60,5.015110000000003e-49,4.9078075940014456e-05
