Time,x,y,z,roll,pitch,yaw,t_fore,t_port,t_stb,WG1,WG2,WG3
0.01,-0.012827,-3.457647e-11,-0.01877489,2.178658e-08,-1.340999,-2.631839e-09,7.296036550668509,7.333893595786331,7.333896992503499,NaN,NaN,NaN
0.02,-0.01282701,-1.389392e-10,-0.01877457,8.741288e-08,-1.341,-1.029067e-08,7.298454145598139,7.3361150572113205,7.336121750343407,NaN,NaN,NaN
0.03,-0.01282702,-3.093336e-10,-0.01877404,1.999997e-07,-1.341003,-2.468976e-08,7.331049369500891,7.366715445911407,7.3667251628217745,NaN,NaN,NaN
0.04,-0.01282705,-5.351222e-10,-0.01877338,3.587533e-07,-1.341007,-4.391881e-08,7.3790558530924795,7.419836094201592,7.41984811481096,NaN,NaN,NaN
0.05,-0.0128271,-8.039036e-10,-0.01877267,5.615592e-07,-1.341012,-6.88106e-08,7.368484379563542,7.401961103629978,7.4019779089567646,1.03506e-60,5.015110000000003e-49,1.8720546294973133e-05
0.06,-0.01282718,-1.116528e-09,-0.01877188,8.095929e-07,-1.341017,-9.924962e-08,7.308606441056735,7.34650142057091,7.346519760896959,3.865439999999998e-05,5.015110000000003e-49,2.466148128076068e-05
0.07,-0.01282729,-1.488322e-09,-0.01877088,1.103069e-06,-1.341024,-1.341255e-07,7.280158076393265,7.328709922525025,7.328726814078598,7.730880000000001e-05,5.015110000000003e-49,3.060241626654824e-05
0.08,-0.01282741,-1.930629e-09,-0.01876966,1.440755e-06,-1.341032,-1.750355e-07,7.277531811667167,7.307331816154569,7.30734541139122,0.0001159632,5.015110000000003e-49,3.654335125233578e-05
0.09,-0.01282754,-2.461091e-09,-0.01876818,1.823184e-06,-1.341041,-2.247887e-07,7.247826954559488,7.2755900894678796,7.275600898626994,0.00015461759999999997,5.015110000000003e-49,4.248428623812333e-05
0.1,-0.0128277,-3.099472e-09,-0.01876638,2.251446e-06,-1.341053,-2.848628e-07,7.225953220802452,7.270470156127523,7.27048069255752,0.000193272,5.015110000000003e-49,4.8425221223910885e-05
0.11,-0.01282785,-3.854322e-09,-0.01876425,2.724698e-06,-1.341066,-3.532242e-07,7.271005831594032,7.3134683887097065,7.313477206897764,0.00023929479999999998,-2.2619599999999996e-05,5.002897735704171e-05
0.12,-0.012828,-4.746513e-09,-0.01876189,3.243344e-06,-1.34108,-4.296136e-07,7.324414344651542,7.349385244171435,7.3493922545304216,0.0002853175999999999,-4.523919999999999e-05,5.1632733490172533e-05
0.13,-0.01282814,-5.785824e-09,-0.01875936,3.807701e-06,-1.341095,-5.143863e-07,7.298231709701891,7.3541617809087105,7.354169362993565,0.0003313404,-6.785880000000002e-05,5.323648962330336e-05
0.14,-0.01282827,-6.966413e-09,-0.01875665,4.418154e-06,-1.34111,-6.090898e-07,7.285919230267268,7.351718929958293,7.351730152478009,0.00037736320000000004,-9.047840000000005e-05,5.484024575643419e-05
0.15,-0.01282835,-8.284886e-09,-0.01875378,5.073552e-06,-1.341124,-7.111285e-07,7.341129216191293,7.365113017687417,7.365125911653713,0.00042338599999999993,-0.00011309800000000001,5.6444001889565006e-05
0.16,-0.01282843,-9.746466e-09,-0.01875078,5.77375e-06,-1.341139,-8.186574e-07,7.352836005928608,7.359138302440849,7.35915244455545,0.0004822877999999999,-0.00012930500000000002,5.4640982695546104e-05
0.17,-0.0128285,-1.136039e-08,-0.01874766,6.519059e-06,-1.341158,-9.273348e-07,7.314815895683539,7.352284352807088,7.352300360578548,0.0005411896000000001,-0.00014551200000000004,5.28379635015272e-05
0.18,-0.01282854,-1.311811e-08,-0.01874438,7.308624e-06,-1.341179,-1.033768e-06,7.311130199157191,7.355755601302667,7.3557742395088255,0.0006000913999999999,-0.000161719,5.103494430750831e-05
0.19,-0.01282855,-1.503046e-08,-0.01874096,8.142247e-06,-1.341199,-1.134644e-06,7.339269611574258,7.362782682562411,7.362800365424919,0.0006589931999999999,-0.00017792600000000002,4.9231925113489405e-05
0.2,-0.01282854,-1.707233e-08,-0.01873742,9.019633e-06,-1.341222,-1.227517e-06,7.296873732859799,7.337301814388122,7.3373177069003,0.000717895,-0.00019413300000000003,4.74289059194705e-05
0.21,-0.0128285,-1.923178e-08,-0.01873369,9.9406e-06,-1.341245,-1.315156e-06,7.2461919057183195,7.313067579219853,7.313082099140216,0.0007871639999999998,-0.00021050019999999998,4.494072898447421e-05
0.22,-0.01282842,-2.149975e-08,-0.01872973,1.090517e-05,-1.341267,-1.400077e-06,7.25718192982837,7.306283838760075,7.306297249379581,0.000856433,-0.0002268674,4.245255204947792e-05
0.23,-0.0128283,-2.385081e-08,-0.01872552,1.191265e-05,-1.341288,-1.483358e-06,7.2849261756199155,7.307993804012,7.308004272515509,0.0009257019999999999,-0.0002432346,3.996437511448163e-05
0.24,-0.01282816,-2.629935e-08,-0.01872111,1.296293e-05,-1.341312,-1.566795e-06,7.276082995542797,7.3025346680422265,7.302543996396367,0.0009949709999999999,-0.0002596018,3.747619817948534e-05
0.25,-0.01282802,-2.885455e-08,-0.01871647,1.405593e-05,-1.341338,-1.653124e-06,7.284493295961174,7.3224193314752934,7.322429357313823,0.00106424,-0.000275969,3.498802124448905e-05
0.26,-0.01282788,-3.150578e-08,-0.01871165,1.51908e-05,-1.341365,-1.743536e-06,7.325743422983408,7.355716364028083,7.355727753650763,0.001127178,-0.0002839044,3.247144846362789e-05
0.27,-0.01282773,-3.422833e-08,-0.01870672,1.636681e-05,-1.341394,-1.8422e-06,7.338365209332465,7.371570137159262,7.371582054706799,0.0011901160000000002,-0.00029183979999999996,2.9954875682766728e-05
0.28,-0.01282758,-3.703612e-08,-0.01870171,1.75832e-05,-1.341424,-1.952874e-06,7.315310041696408,7.360437881765213,7.360451997868321,0.001253054,-0.0002997752,2.743830290190557e-05
0.29,-0.01282743,-3.992331e-08,-0.01869659,1.883959e-05,-1.341454,-2.068322e-06,7.312422139925966,7.359706234894959,7.359722572103307,0.0013159919999999998,-0.0003077106,2.4921730121044424e-05
0.3,-0.01282729,-4.287131e-08,-0.01869137,2.013585e-05,-1.341484,-2.178992e-06,7.320561590492444,7.359256383501715,7.3592737414001865,0.0013789299999999998,-0.000315646,2.2405157340183264e-05
0.31,-0.01282716,-4.589664e-08,-0.01868605,2.147055e-05,-1.341514,-2.281445e-06,7.307505731410257,7.346473499226628,7.346490487596228,0.001442306,-0.000314129,1.9709800897572028e-05
