Time,x,y,z,roll,pitch,yaw,t_fore,t_port,t_stb,WG1,WG2,WG3
0.01,-0.01282788,4.677383e-11,-0.01878783,3.069754e-08,-1.341296,3.980898e-09,9.021055868192038,6.539895136407713,6.539912880571146,NaN,NaN,NaN
0.02,-0.01283152,-2.733514e-11,-0.01880083,1.029422e-07,-1.34164,-5.590074e-09,5.30102480434329,6.736781304196073,6.736769336864204,NaN,NaN,NaN
0.03,-0.01283273,-2.191648e-10,-0.01880413,2.089968e-07,-1.342257,-2.609174e-08,0.18606335948662817,5.227882409409929,5.227882499540857,NaN,NaN,NaN
0.04,-0.01283087,-5.212284e-10,-0.018804,3.479141e-07,-1.342474,-7.401525e-08,3.297783334433378,4.663753733955027,4.6635955291357245,NaN,NaN,NaN
0.05,-0.01282705,-9.950315e-10,-0.01879546,5.871286e-07,-1.342544,-1.394337e-07,1.3596788853301458,2.460559338752897,2.459995759216258,1.03506e-60,5.015110000000003e-49,1.7878087739433293e-05
0.06,-0.01282294,-3.345292e-09,-0.0187768,1.155248e-06,-1.342453,-2.617504e-07,2.6944155053226027,3.7108924387739757,3.7178234654350355,1.4003399999999994e-05,5.015110000000003e-49,2.411794473045472e-05
0.07,-0.01281733,-2.462608e-09,-0.01875191,1.30509e-06,-1.342239,-4.414243e-07,4.733723761051505,36.84490199443901,36.836233092067694,2.8006800000000008e-05,5.015110000000003e-49,3.0357801721476154e-05
0.08,-0.01280761,2.652213e-09,-0.01875798,8.971884e-07,-1.341198,-5.2656e-07,5.87129020552956,7.968288199393344,7.965137613602653,4.20102e-05,5.015110000000003e-49,3.659765871249758e-05
0.09,-0.01280885,2.147429e-08,-0.01876667,-1.111252e-06,-1.341888,-6.712432e-07,5.9703957130338985,4.718843632757102,4.545104400777811,5.601359999999999e-05,5.015110000000003e-49,4.283751570351901e-05
0.1,-0.01281173,1.624021e-08,-0.01876642,-1.22046e-06,-1.342758,-6.125543e-07,5.030984793138091,0.4498911961271834,0.5276232803823635,7.0017e-05,5.015110000000003e-49,4.907737269454044e-05
0.11,-0.0128155,6.789353e-08,-0.01875202,-7.980556e-06,-1.343802,-8.608684e-07,1.4172962532612008,0.8227344684770721,0.5081287013103015,8.071740000000001e-05,5.015110000000003e-49,5.064545849451509e-05
0.12,-0.01281858,1.547646e-07,-0.01873048,-2.043881e-05,-1.344831,9.687664e-07,2.1391638497982326,2.1856431514317927,1.3145072543010543,9.14178e-05,5.015110000000003e-49,5.2213544294489725e-05
0.13,-0.01282173,3.561859e-07,-0.01869538,-4.99804e-05,-1.345672,-1.785545e-08,1.8988036322133794,3.4237246064395235,2.7455880090541958,0.0001021182,5.015110000000003e-49,5.378163009446437e-05
0.14,-0.01282331,5.484384e-07,-0.01865508,-7.887928e-05,-1.346212,2.512223e-07,3.600359695899529,5.365501278597303,4.6936013443582185,0.0001128186,5.015110000000003e-49,5.5349715894439014e-05
0.15,-0.01282276,4.511994e-07,-0.01861427,-6.787242e-05,-1.346238,-1.014269e-05,5.292925902988414,10.160653128660842,10.186436369711322,0.000123519,5.015110000000003e-49,5.691780169441365e-05
0.16,-0.01281846,4.73147e-07,-0.0185794,-6.965395e-05,-1.345487,-1.615643e-05,7.515475835871524,7.298281825996671,7.154459259327451,0.0001314962,5.015110000000003e-49,5.460025967105838e-05
0.17,-0.01281362,5.08504e-07,-0.01854504,-8.044321e-05,-1.344654,-2.461149e-05,9.808125508872733,7.027315762996313,7.070412819853861,0.0001394734,5.015110000000003e-49,5.2282717647703096e-05
0.18,-0.01280905,4.72441e-07,-0.01851085,-7.478755e-05,-1.343976,-2.969533e-05,4.2007819938725826,7.439298058133572,7.363405245840017,0.0001474506,5.015110000000003e-49,4.996517562434783e-05
0.19,-0.01280223,3.422454e-07,-0.01847439,-5.759752e-05,-1.343039,-3.741337e-05,8.062704833075664,5.507487994308036,6.220723600469896,0.0001554278,5.015110000000003e-49,4.7647633600992554e-05
