Time,x,y,z,roll,pitch,yaw,t_fore,t_port,t_stb,WG1,WG2,WG3
0.01,-0.01282788,4.677286e-11,-0.01878783,3.06976e-08,-1.341296,3.980875e-09,9.021055867895896,6.539895145304739,6.539912889523121,NaN,NaN,NaN
0.02,-0.01283152,-2.733578e-11,-0.01880083,1.029423e-07,-1.34164,-5.590185e-09,5.301024812821146,6.736781306838014,6.736769339138654,NaN,NaN,NaN
0.03,-0.01283273,-2.193412e-10,-0.01880413,2.089925e-07,-1.342257,-2.609519e-08,0.18606337238947807,5.227882550803006,5.227882642206648,NaN,NaN,NaN
0.04,-0.01283087,-5.216049e-10,-0.018804,3.479017e-07,-1.342474,-7.402151e-08,3.2977836188912955,4.663753461329938,4.663595262040106,NaN,NaN,NaN
0.05,-0.01282705,-9.954149e-10,-0.01879546,5.871173e-07,-1.342544,-1.394433e-07,1.359685617488299,2.460560365376045,2.4599968351177384,1.03506e-60,5.015110000000003e-49,1.7878087739433293e-05
0.06,-0.01282294,-3.345429e-09,-0.0187768,1.155246e-06,-1.342453,-2.617868e-07,2.694411527197259,3.7109049023809826,3.71783206445239,-2.0688799999999987e-05,5.015110000000003e-49,2.4117905001036032e-05
0.07,-0.01281733,-2.462642e-09,-0.01875191,1.305155e-06,-1.342239,-4.41476e-07,4.733732004935769,36.84488365902324,36.83622375722656,-4.137760000000001e-05,5.015110000000003e-49,3.0357722262638784e-05
0.08,-0.01280761,2.703893e-09,-0.01875798,8.901813e-07,-1.341198,-5.26421e-07,5.871325904355002,7.968785398370484,7.966220366082549,-6.20664e-05,5.015110000000003e-49,3.659753952424153e-05
0.09,-0.01280885,2.128313e-08,-0.01876667,-1.098304e-06,-1.341888,-6.682742e-07,5.970252269574145,4.7210958244712025,4.534532580736959,-8.275519999999998e-05,5.015110000000003e-49,4.283735678584427e-05
0.1,-0.01281173,1.419255e-08,-0.01876642,-9.659166e-07,-1.342758,-5.997543e-07,5.031090114788795,0.4390186641394581,0.5298503714359245,-0.000103444,5.015110000000003e-49,4.907717404744702e-05
0.11,-0.01281551,6.494227e-08,-0.01875201,-7.621256e-06,-1.343802,-8.42639e-07,1.4169604963814333,0.8109122973085012,0.5141794301542827,-0.0001185394,5.015110000000003e-49,5.06456504116126e-05
0.12,-0.01281858,1.495694e-07,-0.01873047,-1.979319e-05,-1.344831,1.039061e-06,2.123344618404143,2.2655587012507503,1.1910002986068235,-0.0001336348,5.015110000000003e-49,5.2214126775778174e-05
0.13,-0.01282175,2.829932e-07,-0.01869531,-3.931191e-05,-1.345677,-7.372017e-07,1.8705203452605164,3.506343052387507,3.1564213719850356,-0.0001487302,5.015110000000003e-49,5.378260313994375e-05
0.14,-0.01282331,4.952888e-07,-0.01865516,-6.940511e-05,-1.34621,3.920638e-06,3.76158575313043,5.339850226589926,5.515798911695796,-0.00016382560000000003,5.015110000000003e-49,5.535107950410933e-05
0.15,-0.01282276,6.930878e-07,-0.01861491,-0.0001022913,-1.346217,5.729072e-06,5.519410940022931,10.099603440863234,9.764639537317986,-0.000178921,5.015110000000003e-49,5.691955586827491e-05
0.16,-0.01281846,9.151685e-07,-0.01858054,-0.0001345559,-1.345449,1.00129e-05,7.714923889931887,7.462463824772029,6.939436019139288,-0.0001875122,-1.400240000000001e-05,5.460627778174026e-05
