Time,x,y,z,roll,pitch,yaw,t_fore,t_port,t_stb,WG1,WG2,WG3
0.01,-0.01282788,4.68033e-11,-0.01878783,3.069937e-08,-1.341296,3.980568e-09,9.021055855731898,6.539895127880097,6.5399128726535665,NaN,NaN,NaN
0.02,-0.01283152,-2.733661e-11,-0.01880083,1.029424e-07,-1.34164,-5.590139e-09,5.301024780454348,6.736781301553174,6.736769334010195,NaN,NaN,NaN
0.03,-0.01283273,-2.194465e-10,-0.01880413,2.089879e-07,-1.342257,-2.60767e-08,0.1860633555026083,5.227882250356768,5.227882342037244,NaN,NaN,NaN
0.04,-0.01283087,-5.215685e-10,-0.018804,3.479028e-07,-1.342474,-7.399662e-08,3.2977826176671368,4.663753852409885,4.663595640951028,NaN,NaN,NaN
0.05,-0.01282705,-9.954424e-10,-0.01879546,5.871148e-07,-1.342544,-1.394117e-07,1.3597004625424325,2.460559053128177,2.459995456274174,1.03506e-60,5.015110000000003e-49,1.7878087739433293e-05
0.06,-0.01282294,-3.34541e-09,-0.0187768,1.155257e-06,-1.342453,-2.61739e-07,2.694417485310213,3.7108802762429187,3.7178141127281252,1.03506e-60,5.015110000000003e-49,2.411788439028644e-05
0.07,-0.01281733,-2.462923e-09,-0.01875191,1.30512e-06,-1.342239,-4.413926e-07,4.733738177915075,36.84491721789545,36.83624034616828,1.03506e-60,5.015110000000003e-49,3.03576810411396e-05
0.08,-0.01280761,2.603708e-09,-0.01875798,9.036282e-07,-1.341198,-5.266486e-07,5.871369455738538,7.967842476555666,7.964099785965859,1.03506e-60,5.015110000000003e-49,3.659747769199275e-05
0.09,-0.01280885,2.158129e-08,-0.01876667,-1.115037e-06,-1.341888,-6.732174e-07,5.970033178716615,4.716915117444308,4.555079109311637,1.03506e-60,5.015110000000003e-49,4.2837274342845895e-05
0.1,-0.01281173,1.80383e-08,-0.01876642,-1.444206e-06,-1.342758,-6.219306e-07,5.030546513239921,0.46217668332038725,0.5263412163153175,1.03506e-60,5.015110000000003e-49,4.9077070993699056e-05
0.11,-0.0128155,6.953272e-08,-0.01875202,-8.190665e-06,-1.343802,-8.752281e-07,1.4177030155314485,0.8381144154294955,0.4963300208336327,-1.7617859999999997e-05,5.015110000000003e-49,5.064607821311704e-05
