Time,x,y,z,roll,pitch,yaw,t_fore,t_port,t_stb,WG1,WG2,WG3
0.01,-0.012827,-3.457813e-11,-0.01877489,2.178648e-08,-1.340999,-2.631565e-09,7.2960365009159025,7.333893544488971,7.333896941214596,NaN,NaN,NaN
0.02,-0.01282701,-1.389389e-10,-0.01877457,8.741278e-08,-1.341,-1.029018e-08,7.298454071336217,7.336114977971077,7.33612167110121,NaN,NaN,NaN
0.03,-0.01282702,-3.093358e-10,-0.01877404,1.999994e-07,-1.341003,-2.468852e-08,7.331049319433089,7.366715388998555,7.3667251059463315,NaN,NaN,NaN
0.04,-0.01282705,-5.351375e-10,-0.01877338,3.587524e-07,-1.341007,-4.391615e-08,7.379055923829041,7.41983612855653,7.419848149209547,NaN,NaN,NaN
0.05,-0.0128271,-8.039257e-10,-0.01877267,5.615582e-07,-1.341012,-6.880678e-08,7.368484703975838,7.401961314029895,7.4019781193976435,0.000168462,5.015110000000003e-49,1.8720646294973133e-05
0.06,-0.01282718,-1.116561e-09,-0.01877188,8.09592e-07,-1.341017,-9.92447e-08,7.308607133463948,7.346501882857581,7.346520223268466,0.00023687539999999997,5.015110000000003e-49,2.4662201780789514e-05
0.07,-0.01282729,-1.488356e-09,-0.01877088,1.103068e-06,-1.341024,-1.341174e-07,7.280159466637603,7.328710918301294,7.328727810035474,0.0003052888,5.015110000000003e-49,3.0603757266605906e-05
0.08,-0.01282741,-1.930719e-09,-0.01876966,1.440756e-06,-1.341032,-1.750305e-07,7.277534285547809,7.307333631878759,7.307347227301114,0.0003737022,5.015110000000003e-49,3.654531275242229e-05
0.09,-0.01282754,-2.461194e-09,-0.01876818,1.823186e-06,-1.341041,-2.248117e-07,7.2478307101866175,7.275592828933148,7.275603638468529,0.00044211559999999997,5.015110000000003e-49,4.248686823823867e-05
0.1,-0.0128277,-3.099511e-09,-0.01876638,2.251454e-06,-1.341053,-2.84937e-07,7.225958543869868,7.270474046653681,7.270484583479869,0.000510529,5.015110000000003e-49,4.842842372405506e-05
0.11,-0.01282785,-3.854346e-09,-0.01876425,2.724713e-06,-1.341066,-3.533702e-07,7.271013328808699,7.313473791426165,7.3134826100882915,0.0005864168,5.015110000000003e-49,5.003576160233483e-05
0.12,-0.012828,-4.746446e-09,-0.01876188,3.243371e-06,-1.34108,-4.298739e-07,7.32442427482416,7.349392457722477,7.349399469065869,0.0006623046,5.015110000000003e-49,5.16430994806146e-05
0.13,-0.01282814,-5.785766e-09,-0.01875935,3.807749e-06,-1.341095,-5.147879e-07,7.298243818572223,7.354170537811298,7.354178122126653,0.0007381924000000001,5.015110000000003e-49,5.3250437358894374e-05
0.14,-0.01282826,-6.966285e-09,-0.01875664,4.418238e-06,-1.34111,-6.096563e-07,7.285933327268314,7.351729034413797,7.351740258720348,0.0008140802000000003,5.015110000000003e-49,5.485777523717415e-05
0.15,-0.01282835,-8.284443e-09,-0.01875376,5.07368e-06,-1.341124,-7.118671e-07,7.34114551770308,7.3651248433847165,7.365137738971334,0.0008899680000000001,5.015110000000003e-49,5.6465113115453916e-05
0.16,-0.01282842,-9.745565e-09,-0.01875075,5.77393e-06,-1.341139,-8.1957e-07,7.352854183957406,7.35915148658019,7.359165629241806,0.0009557924,2.7929600000000018e-05,5.467267755278052e-05
0.17,-0.01282849,-1.135871e-08,-0.01874762,6.51929e-06,-1.341158,-9.28402e-07,7.3148371222953905,7.352299291459394,7.352315298826422,0.0010216168000000002,5.5859200000000036e-05,5.288024199010712e-05
0.18,-0.01282854,-1.311543e-08,-0.01874434,7.308906e-06,-1.341178,-1.034963e-06,7.311154764901001,7.355772630931131,7.355791265914176,0.0010874411999999998,8.378879999999997e-05,5.1087806427433735e-05
0.19,-0.01282855,-1.50266e-08,-0.01874091,8.142582e-06,-1.341199,-1.135965e-06,7.339297097250318,7.362801969379227,7.362819650361332,0.0011532655999999999,0.00011171839999999999,4.9295370864760344e-05
0.2,-0.01282854,-1.706716e-08,-0.01873735,9.020019e-06,-1.341221,-1.228943e-06,7.296904842478148,7.33732324126176,7.337339128613676,0.00121909,0.000139648,4.7502935302086946e-05
0.21,-0.01282849,-1.922513e-08,-0.0187336,9.94105e-06,-1.341244,-1.316692e-06,7.246226129187639,7.313091394378214,7.313105909684332,0.0012695519999999997,0.00017022679999999994,4.503749766182316e-05
0.22,-0.0128284,-2.149109e-08,-0.01872962,1.090569e-05,-1.341266,-1.401705e-06,7.257218374160434,7.306309290352241,7.306322696126375,0.001320014,0.00020080560000000001,4.257206002155936e-05
0.23,-0.01282828,-2.383972e-08,-0.01872539,1.191325e-05,-1.341287,-1.485063e-06,7.284965239803073,7.308020968787036,7.308031434890138,0.001370476,0.00023138440000000003,4.010662238129557e-05
0.24,-0.01282814,-2.628573e-08,-0.01872095,1.296361e-05,-1.34131,-1.568606e-06,7.276126058651984,7.302564448485182,7.302573776261486,0.001420938,0.0002619632,3.764118474103178e-05
0.25,-0.012828,-2.883841e-08,-0.01871628,1.405672e-05,-1.341336,-1.655034e-06,7.284541574210787,7.322453136256907,7.322463163921743,0.0014714,0.000292542,3.5175747100767984e-05
0.26,-0.01282785,-3.1487e-08,-0.01871143,1.519169e-05,-1.341363,-1.74557e-06,7.3257950558070375,7.355752661200256,7.355764052862737,0.001496546,0.00032668420000000006,3.270016329785195e-05
0.27,-0.01282769,-3.4207e-08,-0.01870646,1.636782e-05,-1.341391,-1.844335e-06,7.338420294401992,7.371608456083411,7.371620378875025,0.001521692,0.0003608264000000001,3.022457949493591e-05
0.28,-0.01282754,-3.701247e-08,-0.01870141,1.758432e-05,-1.34142,-1.955104e-06,7.315368021575408,7.360478208613236,7.360492330550692,0.001546838,0.0003949686000000001,2.774899569201987e-05
0.29,-0.01282739,-3.989742e-08,-0.01869625,1.884082e-05,-1.34145,-2.070648e-06,7.312483465747536,7.359749576389696,7.359765919014004,0.001571984,0.00042911079999999996,2.527341188910385e-05
0.3,-0.01282724,-4.284345e-08,-0.01869097,2.013719e-05,-1.341479,-2.181366e-06,7.320624214875767,7.359300344475782,7.359317705280951,0.00159713,0.000463253,2.279782808618781e-05
0.31,-0.0128271,-4.586712e-08,-0.0186856,2.147201e-05,-1.341508,-2.28378e-06,7.307571292072109,7.346518450099047,7.346535444467085,0.001605854,0.0004960932,2.0166040922131948e-05
0.32,-0.01282698,-4.89744e-08,-0.0186801,2.284556e-05,-1.341539,-2.379553e-06,7.288559917284809,7.326256260616459,7.326273372484689,0.0016145780000000002,0.0005289334,1.753425375807608e-05
0.33,-0.01282688,-5.216799e-08,-0.01867444,2.425678e-05,-1.34157,-2.47384e-06,7.291348409705353,7.325717799849807,7.325734208257732,0.0016233020000000003,0.0005617736000000001,1.490246659402022e-05
0.34,-0.01282681,-5.544796e-08,-0.01866863,2.570502e-05,-1.341603,-2.571325e-06,7.292509920018692,7.327430458850456,7.327445094839501,0.0016320260000000002,0.0005946138000000001,1.2270679429964356e-05
0.35,-0.01282677,-5.878606e-08,-0.01866267,2.718856e-05,-1.341636,-2.683235e-06,7.279886132200415,7.320557572908437,7.320570323536942,0.0016407500000000003,0.000627454,9.638892265908508e-06
0.36,-0.01282675,-6.217075e-08,-0.01865656,2.870657e-05,-1.34167,-2.82098e-06,7.276950611454139,7.3130976845257045,7.31310966415796,0.0016342540000000003,0.0006607174,6.982000424795804e-06
0.37,-0.01282677,-6.55949e-08,-0.01865027,3.026116e-05,-1.341705,-2.981843e-06,7.291624037778535,7.326340556293898,7.326352262355321,0.0016277580000000004,0.0006939807999999999,4.325108583683097e-06
0.38,-0.01282682,-6.903303e-08,-0.01864386,3.184983e-05,-1.341742,-3.157082e-06,7.303343954420757,7.343089168890037,7.34310079024857,0.0016212620000000003,0.0007272442,1.6682167425703936e-06
0.39,-0.01282691,-7.249962e-08,-0.01863734,3.34724e-05,-1.341778,-3.350377e-06,7.308198756581076,7.351715548803946,7.351727881046131,0.0016147660000000001,0.0007605076,-9.886750985423129e-07
0.4,-0.01282702,-7.60314e-08,-0.01863074,3.512678e-05,-1.341815,-3.560831e-06,7.317280361007027,7.353379073918303,7.35339304595977,0.0016082700000000002,0.000793771,-3.645566939655017e-06
0.41,-0.01282717,-7.967532e-08,-0.01862408,3.681464e-05,-1.341852,-3.787355e-06,7.323324513733446,7.360697990744349,7.360713902937494,0.0015862440000000003,0.0008284407999999998,-5.9155093695766125e-06
0.42,-0.01282735,-8.346065e-08,-0.01861736,3.85345e-05,-1.341891,-4.024132e-06,7.316512334381551,7.359313333755002,7.359330706508719,0.001564218,0.0008631105999999998,-8.185451799498221e-06
0.43,-0.01282756,-8.739663e-08,-0.01861059,4.028561e-05,-1.341929,-4.274411e-06,7.306193999702874,7.345465601305502,7.3454839552752755,0.001542192,0.0008977803999999999,-1.045539422941983e-05
0.44,-0.01282779,-9.14587e-08,-0.01860375,4.206731e-05,-1.341967,-4.538581e-06,7.30113225730897,7.329514990110641,7.32953385856219,0.0015201659999999999,0.0009324502,-1.2725336659341437e-05
0.45,-0.01282806,-9.562387e-08,-0.0185968,4.387894e-05,-1.342007,-4.809353e-06,7.296027439811853,7.32896244248674,7.328981221502181,0.0014981399999999998,0.00096712,-1.4995279089263045e-05
0.46,-0.01282836,-9.984707e-08,-0.01858976,4.571965e-05,-1.342047,-5.090923e-06,7.289672584467342,7.3328587088546975,7.332876746101425,0.001459774,0.00100665,-1.6508514438015433e-05
0.47,-0.01282867,-1.041199e-07,-0.01858264,4.758888e-05,-1.342089,-5.382662e-06,7.2870597468582226,7.330450056140091,7.330466502183432,0.0014214079999999999,0.0010461799999999999,-1.802174978676781e-05
0.48,-0.01282898,-1.084536e-07,-0.01857542,4.948602e-05,-1.34213,-5.690373e-06,7.288020318819231,7.325882572380483,7.325897447131585,0.0013830419999999997,0.00108571,-1.9534985135520197e-05
