Time,x,y,z,roll,pitch,yaw,t_fore,t_port,t_stb,WG1,WG2,WG3
0.01,-0.012827,-3.457749e-11,-0.01877489,2.178652e-08,-1.340999,-2.631766e-09,7.2960364732374785,7.333893533508144,7.333896930236725,NaN,NaN,NaN
0.02,-0.01282701,-1.389429e-10,-0.01877457,8.741271e-08,-1.341,-1.029054e-08,7.298453890781962,7.336114857916183,7.336121551060397,NaN,NaN,NaN
0.03,-0.01282702,-3.093419e-10,-0.01877404,1.999993e-07,-1.341003,-2.468916e-08,7.3310487943708615,7.366715010611668,7.366724727545212,NaN,NaN,NaN
0.04,-0.01282705,-5.351366e-10,-0.01877338,3.58753e-07,-1.341007,-4.391945e-08,7.3790547139134866,7.419835242854808,7.4198472635283945,NaN,NaN,NaN
0.05,-0.0128271,-8.038838e-10,-0.01877267,5.615593e-07,-1.341012,-6.881591e-08,7.368482416429851,7.401959640757987,7.401976445988632,-0.000124356,5.015110000000003e-49,1.8719844280717666e-05
0.06,-0.01282718,-1.11646e-09,-0.01877188,8.095944e-07,-1.341017,-9.926189e-08,7.308603521586095,7.346499268809978,7.346517609076017,-0.00018666519999999996,1.8910479999999986e-05,2.465945927219144e-05
0.07,-0.01282729,-1.488177e-09,-0.01877089,1.103073e-06,-1.341024,-1.341515e-07,7.280154084589412,7.328707007311991,7.3287238988876355,-0.00024897440000000003,3.782096e-05,3.059907426366523e-05
0.08,-0.01282741,-1.930353e-09,-0.01876967,1.440768e-06,-1.341032,-1.751028e-07,7.277526825005032,7.307328191213916,7.307341786792133,-0.00031128359999999997,5.6731439999999986e-05,3.6538689255139e-05
0.09,-0.01282754,-2.46057e-09,-0.01876819,1.823211e-06,-1.341041,-2.249423e-07,7.247821293168677,7.275586016725454,7.275596826206534,-0.0003735927999999999,7.564191999999997e-05,4.247830424661277e-05
0.1,-0.0128277,-3.098456e-09,-0.01876639,2.251496e-06,-1.341053,-2.851547e-07,7.2259465104955956,7.270465233364359,7.270475769796347,-0.000435902,9.455239999999999e-05,4.8417919238086557e-05
0.11,-0.01282785,-3.852594e-09,-0.01876426,2.724778e-06,-1.341066,-3.537205e-07,7.270997895441377,7.313462746898342,7.313471564674348,-0.0005234716,0.00012024411999999999,5.001797241679706e-05
0.12,-0.012828,-4.743587e-09,-0.0187619,3.243461e-06,-1.34108,-4.30404e-07,7.324406145029457,7.349379401995516,7.349386411323042,-0.0006110412,0.00014593583999999998,5.161802559550757e-05
0.13,-0.01282814,-5.781603e-09,-0.01875937,3.807878e-06,-1.341095,-5.155347e-07,7.298223815736826,7.3541561917633835,7.354163774990768,-0.0006986108000000001,0.00017162756000000003,5.3218078774218076e-05
0.14,-0.01282827,-6.960784e-09,-0.01875668,4.418422e-06,-1.341111,-6.106459e-07,7.285911300822711,7.351713295764728,7.351724521210784,-0.0007861804000000003,0.00019731928000000007,5.481813195292859e-05
0.15,-0.01282836,-8.277516e-09,-0.01875381,5.073951e-06,-1.341124,-7.131498e-07,7.341121509781084,7.365107494694977,7.365120392132045,-0.0008737500000000001,0.000223011,5.641818513163909e-05
0.16,-0.01282843,-9.737286e-09,-0.01875081,5.774298e-06,-1.34114,-8.211704e-07,7.352828912018308,7.359133269925147,7.359147416366312,-0.00097285,0.0002583894,5.460854327107409e-05
0.17,-0.0128285,-1.134955e-08,-0.0187477,6.519763e-06,-1.341159,-9.303796e-07,7.314808665100628,7.352279475065627,7.352295489106894,-0.0010719500000000003,0.00029376780000000006,5.279890141050909e-05
0.18,-0.01282855,-1.310555e-08,-0.01874443,7.309503e-06,-1.341179,-1.037389e-06,7.311122258814942,7.355750248750599,7.355768894704976,-0.0011710499999999999,0.00032914619999999996,5.098925954994411e-05
0.19,-0.01282856,-1.501625e-08,-0.01874102,8.143316e-06,-1.3412,-1.138858e-06,7.339260982476965,7.362776988852649,7.362794678955666,-0.0012701499999999998,0.00036452459999999996,4.917961768937911e-05
0.2,-0.01282855,-1.705674e-08,-0.01873748,9.020921e-06,-1.341223,-1.232369e-06,7.296864570290821,7.337295893564665,7.337311794229693,-0.00136925,0.000399903,4.7369975828814116e-05
