Time,x,y,z,roll,pitch,yaw,t_fore,t_port,t_stb,WG1,WG2,WG3
0.0,-0.021756,-0.0070761,-0.023039,0.34949,-1.4163,0.23867,7.5581,7.1525,NaN,-0.00048194,0.00018708,0.00022282
0.007999999999999119,-0.021607,-0.006208,-0.022523,0.36003,-1.4157,0.25446,7.5582,7.152,NaN,-0.00068854,-0.00056519,-7.1296e-05
0.015999999999998238,-0.021474,-0.0057248,-0.022037,0.34821,-1.4161,0.2506,7.5582,7.1515,NaN,-0.00035814,6.1259e-05,-0.0001974
0.022999999999999687,-0.021654,-0.0064029,-0.022675,0.35838,-1.4154,0.25584,7.558,7.1509,NaN,5.5384e-05,-0.00031459,-0.00095341
0.030999999999998806,-0.021648,-0.0071099,-0.023102,0.34968,-1.4215,0.27528,7.5577,7.1502,NaN,-2.726e-05,-0.00027279,0.00085328
0.03900000000000148,-0.021541,-0.0058651,-0.022352,0.36046,-1.4164,0.26393,7.5573,7.1495,NaN,-6.8577e-05,-0.00018921,0.00055915
0.0470000000000006,-0.021476,-0.0056361,-0.022038,0.35165,-1.416,0.2474,7.5568,7.1488,NaN,-2.681e-05,-0.00018902,-0.00036536
0.054999999999999716,-0.021695,-0.0066656,-0.022816,0.35582,-1.4153,0.2493,7.5563,7.1481,NaN,0.0006752,6.1673e-05,1.263e-05
0.062000000000001165,-0.021751,-0.0068233,-0.022966,0.35867,-1.415,0.24538,7.5557,7.1475,NaN,-0.00010993,0.00010347,-0.00011342
0.07000000000000028,-0.021501,-0.0057846,-0.022227,0.35775,-1.4167,0.25734,7.555,7.1469,NaN,-6.8603e-05,-0.00027267,-0.00070164
0.0779999999999994,-0.021378,-0.005537,-0.022221,0.36422,-1.4215,0.29915,7.5544,7.1464,NaN,5.5331e-05,-6.3894e-05,-0.00078583
0.08599999999999852,-0.021619,-0.0068615,-0.022973,0.3529,-1.4219,0.27106,7.5537,7.146,NaN,0.00013811,-0.00010546,-0.00074388
0.0940000000000012,-0.021616,-0.0069357,-0.022914,0.34838,-1.421,0.26305,7.5531,7.1457,NaN,0.00022075,0.00022889,-0.00082791
0.10200000000000031,-0.021472,-0.0056199,-0.022082,0.35346,-1.417,0.25634,7.5525,7.1456,NaN,0.00017943,-0.00031443,0.001441
0.10900000000000176,-0.021564,-0.0058999,-0.02226,0.35385,-1.4148,0.24001,7.552,7.1456,NaN,0.00034473,-0.00018883,-0.00053315
0.11700000000000088,-0.021774,-0.0071236,-0.023022,0.34997,-1.4154,0.23553,7.5516,7.1458,NaN,0.00030335,0.00035425,0.0003488
0.125,-0.021672,-0.0064868,-0.022711,0.35557,-1.4155,0.25625,7.5512,7.1462,NaN,5.541e-05,0.00014528,1.267e-05
0.13299999999999912,-0.021479,-0.005473,-0.022026,0.35903,-1.4158,0.2496,7.5509,7.1467,NaN,0.00071658,0.00031246,-0.00053354
0.14099999999999824,-0.021481,-0.0061967,-0.022504,0.35141,-1.4214,0.27927,7.5507,7.1474,NaN,0.00017976,-0.00027242,-2.9683e-05
0.1479999999999997,-0.021678,-0.0075157,-0.023129,0.3342,-1.4213,0.24927,7.5506,7.1483,NaN,0.00075793,0.00027063,9.668e-05
0.1559999999999988,-0.021608,-0.0060634,-0.022576,0.36708,-1.4162,0.27232,7.5506,7.1493,NaN,0.00017942,6.166e-05,-2.936e-05
0.16400000000000148,-0.021468,-0.0053418,-0.02199,0.36239,-1.4153,0.25529,7.5507,7.1504,NaN,0.00071662,0.00014525,-0.00036549
0.1720000000000006,-0.021624,-0.0060938,-0.022585,0.36449,-1.4158,0.26901,7.5508,7.1517,NaN,0.00088184,0.00010336,0.000517
0.17999999999999972,-0.021677,-0.0073825,-0.023102,0.33957,-1.4215,0.24706,7.551,7.153,NaN,0.00042735,-6.3586e-05,0.00047496
0.18799999999999883,-0.021597,-0.0061656,-0.02238,0.35123,-1.4155,0.24136,7.5513,7.1544,NaN,0.00017942,0.00047974,0.00034891
0.19500000000000028,-0.021486,-0.0056571,-0.022027,0.35054,-1.4162,0.24377,7.5515,7.1558,NaN,0.00059265,-0.00027255,0.00018083
0.2029999999999994,-0.021698,-0.0064861,-0.022794,0.36282,-1.4147,0.25735,7.5518,7.1573,NaN,0.00079933,-0.00035635,-0.00053325
0.21099999999999852,-0.021649,-0.0068993,-0.023082,0.35781,-1.4207,0.28641,7.552,7.1588,NaN,0.00075813,-0.00014738,5.4391e-05
0.2190000000000012,-0.021542,-0.0057281,-0.022239,0.36008,-1.4155,0.25489,7.5523,7.1602,NaN,0.00079946,-0.00018918,-0.00091197
0.2270000000000003,-0.021476,-0.005638,-0.022129,0.35553,-1.4168,0.25665,7.5525,7.1615,NaN,0.00051019,-0.0001056,0.00013841
0.23400000000000176,-0.021724,-0.0067,-0.022891,0.35715,-1.4161,0.25169,7.5526,7.1628,NaN,0.00030377,0.00014528,-0.00015462
0.24200000000000088,-0.02163,-0.0072189,-0.022958,0.33605,-1.4218,0.24206,7.5527,7.164,NaN,0.00084073,0.00014519,0.0011472
0.25,-0.021512,-0.0056096,-0.022094,0.35677,-1.4156,0.2492,7.5527,7.165,NaN,0.00063411,-0.00014737,0.00026485
0.2579999999999991,-0.021407,-0.0055759,-0.022287,0.36825,-1.4222,0.29976,7.5526,7.1659,NaN,0.00026221,-2.199e-05,0.0011892
0.26599999999999824,-0.021643,-0.007304,-0.023084,0.34291,-1.4222,0.26526,7.5524,7.1666,NaN,0.00046864,-2.195e-05,0.00039145
0.2729999999999997,-0.021591,-0.0066786,-0.022867,0.35775,-1.4214,0.28222,7.5522,7.1672,NaN,0.00030338,0.00043774,0.00043308
0.2809999999999988,-0.02148,-0.0056953,-0.022044,0.34857,-1.4168,0.24668,7.5518,7.1676,NaN,0.00013808,-0.00014737,0.00076922
0.2890000000000015,-0.021559,-0.0059556,-0.022373,0.35616,-1.4171,0.25056,7.5514,7.1678,NaN,0.00079925,0.00022877,-0.00015515
0.2970000000000006,-0.021797,-0.0072133,-0.023085,0.34479,-1.4153,0.23739,7.5509,7.1678,NaN,0.0009231,0.00022926,0.00039094
0.3049999999999997,-0.021663,-0.0062611,-0.022603,0.35928,-1.4155,0.25061,7.5503,7.1676,NaN,0.00034489,0.00081412,0.00039128
