Time,x,y,z,roll,pitch,yaw,t_fore,t_port,t_stb,WG1,WG2,WG3
0.01,-0.012827,-3.457633e-11,-0.01877489,2.178657e-08,-1.340999,-2.631817e-09,7.296036489965966,7.333893546556598,7.333896943279117,NaN,NaN,NaN
0.02,-0.01282701,-1.389359e-10,-0.01877457,8.741302e-08,-1.341,-1.029074e-08,7.298453957840206,7.336114909774658,7.336121602926479,NaN,NaN,NaN
0.03,-0.01282702,-3.0933e-10,-0.01877404,1.999999e-07,-1.341003,-2.468961e-08,7.331048956732909,7.366715133288542,7.366724850208861,NaN,NaN,NaN
0.04,-0.01282705,-5.351162e-10,-0.01877338,3.587538e-07,-1.341007,-4.392034e-08,7.379055072770292,7.41983551184921,7.419847532476228,NaN,NaN,NaN
0.05,-0.0128271,-8.03859e-10,-0.01877267,5.615606e-07,-1.341012,-6.881666e-08,7.36848310735549,7.401960156722394,7.4019769618831,0.000247159,5.015110000000003e-49,1.872004629497313e-05
0.06,-0.01282718,-1.11642e-09,-0.01877188,8.09596e-07,-1.341017,-9.92637e-08,7.308604617822337,7.346500078396715,7.346518418611293,0.0003489458,-2.216459999999999e-05,2.4660220813179276e-05
0.07,-0.01282729,-1.488087e-09,-0.01877089,1.103076e-06,-1.341024,-1.341563e-07,7.280155664734539,7.328708165300428,7.328725056795284,0.0004507326,-4.432920000000001e-05,3.060039533138543e-05
0.08,-0.01282741,-1.930255e-09,-0.01876967,1.440769e-06,-1.341032,-1.751062e-07,7.27752892389465,7.307329722964097,7.307343318327884,0.0005525193999999999,-6.64938e-05,3.654056984959157e-05
0.09,-0.01282754,-2.460446e-09,-0.01876819,1.82321e-06,-1.341041,-2.249483e-07,7.247823808944107,7.275587833572741,7.275598642755093,0.0006543061999999999,-8.865839999999999e-05,4.248074436779771e-05
0.1,-0.0128277,-3.098315e-09,-0.01876638,2.251493e-06,-1.341053,-2.851624e-07,7.2259495571767065,7.270467474844956,7.270478011005663,0.000756093,-0.000110823,4.842091888600387e-05
0.11,-0.01282785,-3.852355e-09,-0.01876426,2.724773e-06,-1.341066,-3.537338e-07,7.271001493145201,7.313465314709804,7.313474132046874,0.0008667983999999999,-0.000141612,5.002249396939204e-05
0.12,-0.012828,-4.743228e-09,-0.0187619,3.243456e-06,-1.34108,-4.304224e-07,7.3244098546514005,7.349382054016129,7.3493890630956695,0.0009775037999999998,-0.000172401,5.162406905278021e-05
0.13,-0.01282814,-5.781202e-09,-0.01875937,3.807874e-06,-1.341095,-5.155522e-07,7.298227250878689,7.354158626776197,7.3541662100042,0.0010882092,-0.00020319000000000004,5.322564413616839e-05
0.14,-0.01282827,-6.960314e-09,-0.01875667,4.418421e-06,-1.341111,-6.106727e-07,7.285914391982436,7.351715494644003,7.351726720250127,0.0011989146,-0.00023397900000000007,5.4827219219556565e-05
0.15,-0.01282835,-8.27683e-09,-0.0187538,5.073958e-06,-1.341124,-7.132062e-07,7.341123992836357,7.365109275691444,7.365122173096049,0.0013096199999999998,-0.000264768,5.642879430294473e-05
0.16,-0.01282843,-9.736326e-09,-0.0187508,5.774314e-06,-1.341139,-8.212746e-07,7.352830556664888,7.359134425191532,7.359148572138902,0.0013967419999999999,-0.00030770460000000005,5.4621312876970864e-05
0.17,-0.0128285,-1.134837e-08,-0.01874768,6.519791e-06,-1.341159,-9.305438e-07,7.314809679127395,7.352280034437904,7.3522960498905165,0.001483864,-0.00035064120000000013,5.2813831450997005e-05
0.18,-0.01282855,-1.310432e-08,-0.01874441,7.309546e-06,-1.341179,-1.037612e-06,7.311122654860576,7.3557503564738465,7.355769004065284,0.001570986,-0.00039357779999999994,5.1006350025023146e-05
0.19,-0.01282856,-1.501504e-08,-0.018741,8.143379e-06,-1.3412,-1.139142e-06,7.339260680744637,7.362776541584136,7.362794233143098,0.0016581079999999997,-0.00043651440000000007,4.919886859904928e-05
0.2,-0.01282855,-1.705571e-08,-0.01873746,9.021008e-06,-1.341222,-1.232722e-06,7.2968635501304595,7.337294922836875,7.337310826024693,0.00174523,-0.00047945100000000004,4.739138717307542e-05
0.21,-0.01282851,-1.921429e-08,-0.01873374,9.942254e-06,-1.341246,-1.321108e-06,7.24618050663805,7.313059750824646,7.313074283634665,0.0017957759999999998,-0.000527389,4.489476121248292e-05
0.22,-0.01282842,-2.148099e-08,-0.01872978,1.090717e-05,-1.341268,-1.406858e-06,7.25716930829614,7.30627508856611,7.306288510713909,0.001846322,-0.000575327,4.2398135251890406e-05
0.23,-0.0128283,-2.383051e-08,-0.01872559,1.191507e-05,-1.341289,-1.491085e-06,7.28491246313022,7.3079843615072075,7.307994843239985,0.001896868,-0.000623265,3.99015092912979e-05
0.24,-0.01282817,-2.627762e-08,-0.01872118,1.296585e-05,-1.341313,-1.575643e-06,7.276067941828457,7.302524311621546,7.3025336587997325,0.0019474140000000002,-0.000671203,3.74048833307054e-05
0.25,-0.01282804,-2.883165e-08,-0.01871655,1.405946e-05,-1.341339,-1.663262e-06,7.284476474135607,7.322407622390753,7.32241767369206,0.00199796,-0.000719141,3.4908257370112884e-05
0.26,-0.01282789,-3.148199e-08,-0.01871174,1.519505e-05,-1.341367,-1.755118e-06,7.3257252214448485,7.355703702141128,7.355715115486156,0.001999232,-0.0007474898000000001,3.237686839131026e-05
0.27,-0.01282774,-3.420448e-08,-0.01870683,1.637177e-05,-1.341395,-1.855305e-06,7.3383457333760145,7.371556652056527,7.37156859149524,0.002000504,-0.0007758386,2.9845479412507627e-05
0.28,-0.0128276,-3.701289e-08,-0.01870183,1.758885e-05,-1.341425,-1.967507e-06,7.3152892860106435,7.360423574193479,7.360437710229908,0.002001776,-0.0008041874000000002,2.7314090433705e-05
0.29,-0.01282745,-3.99018e-08,-0.01869673,1.884588e-05,-1.341456,-2.084523e-06,7.3123997778111836,7.359690560176388,7.359706913288232,0.002003048,-0.0008325362,2.4782701454902383e-05
0.3,-0.01282731,-4.285263e-08,-0.01869152,2.014274e-05,-1.341486,-2.196747e-06,7.320538004031641,7.359240164644827,7.359257526312009,0.00200432,-0.000860885,2.2251312476099755e-05
0.31,-0.01282719,-4.588161e-08,-0.01868622,2.1478e-05,-1.341516,-2.300769e-06,7.3074801394187165,7.346456263677698,7.3464732458111515,0.001968826,-0.0008646194000000001,1.953209939397282e-05
0.32,-0.01282708,-4.899494e-08,-0.0186808,2.285201e-05,-1.341548,-2.398146e-06,7.288463589238541,7.3261915785434155,7.3262086870480925,0.0019333319999999998,-0.0008683538,1.6812886311845884e-05
0.33,-0.01282699,-5.219531e-08,-0.01867523,2.42638e-05,-1.34158,-2.494055e-06,7.291246107340234,7.325648849794103,7.325665269102654,0.001897838,-0.0008720882000000001,1.4093673229718947e-05
0.34,-0.01282693,-5.548285e-08,-0.01866951,2.571276e-05,-1.341614,-2.593071e-06,7.292405757564251,7.327360749152236,7.327375406572854,0.001862344,-0.0008758226,1.1374460147592011e-05
0.35,-0.01282691,-5.882891e-08,-0.01866366,2.719714e-05,-1.341648,-2.706491e-06,7.2797787954610165,7.320485900835575,7.3204986793928475,0.00182685,-0.000879557,8.655247065465091e-06
0.36,-0.01282691,-6.222225e-08,-0.01865765,2.871612e-05,-1.341684,-2.845594e-06,7.27684125839448,7.313024837021445,7.313036873201643,0.0017572220000000001,-0.0008638464000000001,5.874295487275598e-06
